channel_id,topic_categories,thumbnail_url
UC3UVENYr99HSHFi01lLMohg,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Humour""}",https://img.youtube.com/vi/wruqxcV-w38/hqdefault.jpg
UCYFn7BOOlmL21iNJ6q5IDfg,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}",https://img.youtube.com/vi/oS1pvA1CPAA/hqdefault.jpg
UCdJppX3uAMFMvCTuE9qCowg,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/EU7bqSO4EFo/hqdefault.jpg
UCAwE7N-WJi9cqI0DfKOkKWw,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Humour"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/QJ_6MEEJZNU/hqdefault.jpg
UC8Z-aOFJe-SmwXFRobzs0QA,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Electronic_music""}",https://img.youtube.com/vi/i3CmvryZvnA/hqdefault.jpg
UC8aiYEuyGrdqbOoGV7Nn1tA,"{""https://en.wikipedia.org/wiki/Knowledge"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/sE8CADNWr2M/hqdefault.jpg
UCUJSthdq3-URLsaxz4H-SNg,"{""https://en.wikipedia.org/wiki/Hobby"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Vehicle""}",https://img.youtube.com/vi/2FMOPqg3Hd4/hqdefault.jpg
UCJbxRq_IlWyzvB9KK0Mrs8A,"{""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}",https://img.youtube.com/vi/zFuMsNEztcg/hqdefault.jpg
UCTcATaNqlaCF4zkZp29BJRQ,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/Jfxu81gcgwU/hqdefault.jpg
UCETxOvOv9_44-CUzsPlzyxQ,"{""https://en.wikipedia.org/wiki/Technology"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/6OfMu6FNSvU/hqdefault.jpg
UCcercbthyPyCFDewU8a_tQw,"{""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/7gL3NWzTKLc/hqdefault.jpg
UCXMnTjxEgbaxyPlFjaMPPHg,"{""https://en.wikipedia.org/wiki/Society""}",https://img.youtube.com/vi/AvE6YSohDRk/hqdefault.jpg
UCl4xofrHtiDaesAZeEbxkiA,"{""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music_of_Asia""}",https://img.youtube.com/vi/2esCX5186cI/hqdefault.jpg
UCGkzF25IZBE1SF9ykM64xEA,"{""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}",https://img.youtube.com/vi/U1W7rZd_G3A/hqdefault.jpg
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"{""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}",https://img.youtube.com/vi/b6yQjUfEQBE/hqdefault.jpg
UCn_fqvY_IkBcxCTu68IdWlQ,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/6QfaGVT5nQ4/hqdefault.jpg
UCJPorwyXP29nZW95Gh-nrsw,"{""https://en.wikipedia.org/wiki/Association_football"",""https://en.wikipedia.org/wiki/Sport""}",https://img.youtube.com/vi/ll2-gzdYYEM/hqdefault.jpg
UCbTS5E1D3H6LprsA4aaJ92A,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Hip_hop_music""}",https://img.youtube.com/vi/lFlxJaHxxio/hqdefault.jpg
